物件名,住所,間取り,家賃,階数,最寄りまでの時間
京王井の頭線 高井戸駅 2階建 築9年,東京都杉並区上高井戸２,2LDK,17.3万円,"築9年
2階建",京王井の頭線/高井戸駅 歩13分
フォルシア西荻,東京都杉並区西荻北５,2LDK,12.8万円,"築5年
2階建",ＪＲ中央線/西荻窪駅 歩10分
西武池袋線 保谷駅 3階建 築5年,東京都練馬区南大泉４,2LDK,16.6万円,"築5年
3階建",西武池袋線/保谷駅 歩10分
京王線 代田橋駅 2階建 築13年,東京都杉並区和泉１,2LDK,18.5万円,"築13年
2階建",京王線/代田橋駅 歩7分
都営大江戸線 豊島園駅 地下1地上3階建 築2年,東京都練馬区早宮３,2SLDK,19.9万円,"築2年
地下1地上3階建",都営大江戸線/豊島園駅 歩10分
クレヴィア練馬中村橋（０００４１６４）,東京都練馬区中村北３,2LDK,18.8万円,"築9年
10階建",西武池袋線/中村橋駅 歩4分
西武池袋線 中村橋駅 10階建 築9年,東京都練馬区中村北３,2LDK,18.8万円,"築9年
10階建",西武池袋線/中村橋駅 歩4分
セレアンジュ,東京都練馬区高松１,2LDK,16.8万円,"新築
3階建",都営大江戸線/練馬春日町駅 歩10分
アーバネックス南品川II,東京都品川区南品川４,2LDK,20万円,"築3年
9階建",京急本線/新馬場駅 歩9分
東急田園都市線 駒沢大学駅 2階建 築11年,東京都世田谷区上馬５,2DK,16万円,"築11年
2階建",東急田園都市線/駒沢大学駅 歩10分
GENOVIA 板橋東山町 skygarden,東京都板橋区東山町,2LDK,17.9万円,"築3年
4階建",東武東上線/ときわ台駅 歩10分
ソレアンジュ,東京都練馬区高松１,2LDK,17.9万円,"新築
3階建",都営大江戸線/練馬春日町駅 歩10分
ヴィラージュ,東京都練馬区西大泉１,2LDK,14.8万円,"築14年
2階建",西武池袋線/保谷駅 歩17分
ＪＲ中央線 高円寺駅 3階建 築7年,東京都杉並区高円寺北２,2LDK,17.8万円,"築7年
3階建",ＪＲ中央線/高円寺駅 歩5分
ブランシェ荻窪,東京都杉並区荻窪４,2LDK,16.6万円,"築12年
4階建",ＪＲ中央線/荻窪駅 歩9分
京王井の頭線 浜田山駅 5階建 新築,東京都杉並区浜田山４,2LDK,19万円,"新築
5階建",京王井の頭線/浜田山駅 歩6分
仮称　浜田山４丁目ビル,東京都杉並区浜田山４,2LDK,19万円,"新築
5階建",京王井の頭線/浜田山駅 歩6分
都営新宿線 西大島駅 8階建 築15年,東京都江東区北砂３,2LDK,15.5万円,"築15年
8階建",都営新宿線/西大島駅 歩18分
高井戸西３丁目テラスハウス,東京都杉並区高井戸西３,2LDK,20万円,"新築
2階建",京王井の頭線/富士見ヶ丘駅 歩7分
京王井の頭線 富士見ヶ丘駅 2階建 新築,東京都杉並区高井戸西３,2LDK,20万円,"新築
2階建",京王井の頭線/富士見ヶ丘駅 歩7分
CONTEL　MINAMIAZABU,東京都港区南麻布１,2LDK,19.5万円,"築4年
地下1地上5階建",東京メトロ南北線/麻布十番駅 歩8分
東京メトロ東西線 葛西駅 10階建 築12年,東京都江戸川区南葛西４,2LDK,14.4万円,"築12年
10階建",東京メトロ東西線/葛西駅 歩25分
（仮称）下高井戸５丁目メゾン,東京都杉並区下高井戸５,2LDK,18.7万円,"新築
2階建",京王線/上北沢駅 歩8分
東武東上線 ときわ台駅 8階建 新築,東京都板橋区東山町,2LDK,19.2万円,"新築
8階建",東武東上線/ときわ台駅 歩10分
Crea渋谷初台,東京都渋谷区本町２,2LDK,19.7万円,"新築
5階建",京王新線/初台駅 歩8分
マテリア千住大橋,東京都足立区千住緑町３,2LDK,20万円,"新築
8階建",東京メトロ千代田線/北千住駅 歩15分
東京メトロ千代田線 北千住駅 8階建 新築,東京都足立区千住緑町３,2LDK,20万円,"新築
8階建",東京メトロ千代田線/北千住駅 歩15分
ヴィルソレイユ西荻II,東京都杉並区上荻４,2LDK,15.6万円,"築0年
3階建",ＪＲ総武線/西荻窪駅 歩10分
ヴィルソレイユ西荻I,東京都杉並区上荻４,2LDK,15.6万円,"新築
3階建",ＪＲ総武線/西荻窪駅 歩10分
ＪＲ総武線 西荻窪駅 3階建 新築,東京都杉並区上荻４,2LDK,15.6万円,"新築
3階建",ＪＲ総武線/西荻窪駅 歩10分
和泉４丁目計画,東京都杉並区和泉４,2LDK,19.2万円,"新築
3階建",東京メトロ丸ノ内線/方南町駅 歩8分
京王井の頭線 永福町駅 2階建 築2年,東京都杉並区和泉３,2LDK,17.6万円,"築2年
2階建",京王井の頭線/永福町駅 歩9分
メゾンペッシュ,東京都杉並区和泉３,2LDK,17.6万円,"築2年
2階建",京王井の頭線/永福町駅 歩9分
モンテジョア,東京都大田区仲六郷４,2LDK,14万円,"築9年
10階建",京急本線/六郷土手駅 歩7分
京急本線 六郷土手駅 10階建 築9年,東京都大田区仲六郷４,2LDK,14万円,"築9年
10階建",京急本線/六郷土手駅 歩7分
GRAN PASEO 新高円寺,東京都杉並区堀ノ内３,2LDK,19.5万円,"築1年
4階建",東京メトロ丸ノ内線/新高円寺駅 歩8分
ＪＲ総武線 西荻窪駅 3階建 新築,東京都杉並区上荻４,2LDK,16万円,"新築
3階建",ＪＲ総武線/西荻窪駅 歩10分
アーバンコート初台II,東京都渋谷区本町２,2LDK,17.2万円,"築9年
3階建",京王新線/初台駅 歩10分
京王線 上北沢駅 14階建 新築,東京都杉並区下高井戸１,2LDK,18.1万円,"新築
14階建",京王線/上北沢駅 歩4分
スリーエイトナインII,東京都杉並区松ノ木２,2LDK,17.5万円,"築6年
2階建",東京メトロ丸ノ内線/新高円寺駅 歩10分
ポドカーパス,東京都杉並区久我山５,2LDK,19万円,"新築
2階建",京王井の頭線/久我山駅 歩3分
Casa Sophia,東京都大田区矢口１,2LDK,15万円,"築5年
2階建",東急多摩川線/武蔵新田駅 歩5分
ＣＲＥＡＬ東高円寺,東京都杉並区和田３,2LDK,19.5万円,"築5年
4階建",東京メトロ丸ノ内線/東高円寺駅 歩10分
Casa Sereno上池台,東京都大田区上池台４,2LDK,16.2万円,"新築
2階建",東急池上線/長原駅 歩8分
東京メトロ丸ノ内線 方南町駅 10階建 築15年,東京都杉並区堀ノ内１,2LDK,20万円,"築15年
10階建",東京メトロ丸ノ内線/方南町駅 歩3分
東急大井町線 大岡山駅 2階建 築15年,東京都大田区南千束３,2LDK,18万円,"築15年
2階建",東急大井町線/大岡山駅 歩7分
メゾン　エフスリー,東京都大田区西六郷４,2LDK,16.3万円,"新築
3階建",京急本線/六郷土手駅 歩5分
ＪＲ京浜東北線 蒲田駅 4階建 新築,東京都大田区新蒲田３,2LDK,17.7万円,"新築
4階建",ＪＲ京浜東北線/蒲田駅 歩13分
La Perla Ikejiri-Ohashi,東京都目黒区大橋２,2LDK,19.8万円,"築6年
4階建",ＪＲ山手線/渋谷駅 歩19分
ワイケーハイム,東京都大田区大森東４,2LDK,14.2万円,"新築
3階建",京急本線/大森町駅 歩10分
